station_id,station,basin,river,admin_region,official_lng,official_lat,snap_lng,snap_lat,snap_source,station_type,important_section
744,观音,长江,越溪河,四川,104.401484,29.093624,104.401484,29.093624,official_coordinate,river,否
924,陶伊,长江,辰水,湖南,109.85,27.866667,109.85,27.866667,official_coordinate,river,否
820,治城,长江,通口河,四川,104.3087,31.856833,104.3087,31.856833,official_coordinate,river,否
641,直门达,长江,通天河,青海,97.238333,33.012778,97.238333,33.012778,official_coordinate,river,否
594,泰州(通),长江,通扬运河,江苏,119.9167,32.4833,119.9167,32.4833,official_coordinate,river,否
804,通江,长江,通江-巴河,四川,107.258333,31.886111,107.258333,31.886111,official_coordinate,river,否
846,保家楼,长江,郁江,重庆,108.319015,29.446792,108.319015,29.446792,official_coordinate,river,否
825,胡家坝,长江,郪江,四川,105.243611,30.605278,105.243611,30.605278,official_coordinate,river,否
880,郴州,长江,郴水,湖南,113.033333,25.8,113.033333,25.8,official_coordinate,river,否
1121,康山,长江,鄱阳湖,江西,116.4172,28.8904,116.4172,28.8904,official_coordinate,river,否
1120,都昌,长江,鄱阳湖,江西,116.1897,29.2533,116.1897,29.2533,official_coordinate,river,否
1326,湖口,长江,鄱阳湖湖口,江西,116.216667,29.75,116.216667,29.75,official_coordinate,river,是
928,高砌头(二),长江,酉水,湖南,110.35,28.616667,110.35,28.616667,official_coordinate,river,否
1002,酉水街,长江,酉水河,陕西,107.77,33.28,107.77,33.28,official_coordinate,river,否
891,螺岭桥,长江,金井河,湖南,113.316667,28.433333,113.316667,28.433333,official_coordinate,river,否
829,乌东德,长江,金沙江,云南,102.612222,26.290278,102.612222,26.290278,official_coordinate,river,是
646,华弹,长江,金沙江,四川,102.883056,26.883056,102.883056,26.883056,official_coordinate,river,否
832,向家坝,长江,金沙江,四川,104.408333,28.639167,104.408333,28.639167,official_coordinate,river,是
649,宜宾(二),长江,金沙江,四川,104.621667,28.768611,104.621667,28.768611,official_coordinate,river,否
642,岗拖(三),长江,金沙江,四川,98.59,31.62,98.59,31.62,official_coordinate,river,否
819,攀枝花(二),长江,金沙江,四川,101.716667,26.583056,101.716667,26.583056,official_coordinate,river,是
831,白鹤滩,长江,金沙江,云南,102.883056,27.258889,102.883056,27.258889,official_coordinate,river,是
803,石鼓,长江,金沙江,云南,99.958611,26.87,99.958611,26.87,official_coordinate,river,是
645,龙街(三),长江,金沙江,云南,101.916667,25.966667,101.916667,25.966667,official_coordinate,river,否
1020,南宽坪,长江,金钱河,陕西,109.90811,33.28796,109.90811,33.28796,official_coordinate,river,否
1021,长沙坝(二),长江,金钱河,湖北,110.016667,32.916666,110.016667,32.916666,official_coordinate,river,否
770,自贡,长江,釜溪河,四川,104.752892,29.362018,104.752892,29.362018,official_coordinate,river,否
874,嘉禾(二),长江,钟水,湖南,112.366667,25.566667,112.366667,25.566667,official_coordinate,river,否
1032,竹林关,长江,银花河,陕西,110.407,33.459,110.407,33.459,official_coordinate,river,否
784,成县,长江,长丰河,甘肃,105.755,33.725833,105.755,33.725833,official_coordinate,river,否
657,万县(二),长江,长江,重庆,108.416667,30.75,108.416667,30.75,official_coordinate,river,否
662,三斗坪(二),长江,长江,湖北,111.016667,30.816667,111.016667,30.816667,official_coordinate,river,否
936,九江,长江,长江,江西,116.021667,29.745278,116.021667,29.745278,official_coordinate,river,是
664,南津关(二),长江,长江,湖北,111.2675,30.7675,111.2675,30.7675,official_coordinate,river,否
652,合江,长江,长江,四川,105.85,28.8,105.85,28.8,official_coordinate,river,否
971,大通(二),长江,长江,安徽,117.6175,30.761111,117.6175,30.761111,official_coordinate,river,是
658,奉节(二),长江,长江,重庆,109.506111,31.042778,109.506111,31.042778,official_coordinate,river,否
968,安庆,长江,长江,安徽,117.040556,30.514444,117.040556,30.514444,official_coordinate,river,是
866,宜昌,长江,长江,湖北,111.310833,30.683611,111.310833,30.683611,official_coordinate,river,是
854,寸滩,长江,长江,重庆,106.6,29.626667,106.6,29.626667,official_coordinate,river,是
659,巫山,长江,长江,重庆,109.866111,31.070278,109.866111,31.070278,official_coordinate,river,否
660,巴东(三),长江,长江,湖北,110.416111,31.027222,110.416111,31.027222,official_coordinate,river,否
656,忠县(二),长江,长江,重庆,108.033056,30.3,108.033056,30.3,official_coordinate,river,否
670,新厂(二),长江,长江,湖北,112.405,29.905833,112.405,29.905833,official_coordinate,river,否
852,朱沱(三),长江,长江,重庆,105.85,29.016667,105.85,29.016667,official_coordinate,river,是
650,李庄,长江,长江,四川,104.8,28.816667,104.8,28.816667,official_coordinate,river,否
869,枝城,长江,长江,湖北,111.513056,30.305278,111.513056,30.305278,official_coordinate,river,是
911,汉口,长江,长江,湖北,114.29289,30.578,114.29289,30.578,official_coordinate,river,是
870,沙市,长江,长江,湖北,112.271111,30.299167,112.271111,30.299167,official_coordinate,river,是
651,泸州(三),长江,长江,四川,105.45,28.883056,105.45,28.883056,official_coordinate,river,否
655,清溪场(四),长江,长江,重庆,107.458889,29.793889,107.458889,29.793889,official_coordinate,river,否
897,监利(二),长江,长江,湖北,112.853056,29.780556,112.853056,29.780556,official_coordinate,river,是
896,石首,长江,长江,湖北,112.409444,29.740556,112.409444,29.740556,official_coordinate,river,是
676,码头镇,长江,长江,江西,115.571944,29.832778,115.571944,29.832778,official_coordinate,river,否
661,茅坪(二),长江,长江,湖北,110.983333,30.833333,110.983333,30.833333,official_coordinate,river,否
899,莲花塘,长江,长江,湖南,113.145667,29.446556,113.145667,29.446556,official_coordinate,river,是
665,葛洲坝5#,长江,长江,湖北,111.283056,30.733056,111.283056,30.733056,official_coordinate,river,否
909,螺山,长江,长江,湖北,113.317917,29.663639,113.317917,29.663639,official_coordinate,river,是
672,调弦口,长江,长江,湖北,112.636944,29.704444,112.636944,29.704444,official_coordinate,river,否
669,郝穴(二),长江,长江,湖北,112.401111,30.042222,112.401111,30.042222,official_coordinate,river,否
654,长寿(二),长江,长江,重庆,107.065,29.8225,107.065,29.8225,official_coordinate,river,否
668,陈家湾,长江,长江,湖北,112.0637,30.2804,112.0637,30.2804,official_coordinate,river,否
667,马家店,长江,长江,湖北,111.759444,30.425833,111.759444,30.425833,official_coordinate,river,否
675,黄石港,长江,长江,湖北,115.05,30.25,115.05,30.25,official_coordinate,river,否
663,黄陵庙(陡),长江,长江,湖北,111.116667,30.85,111.116667,30.85,official_coordinate,river,否
1128,周家河,长江,长河,安徽,116.036111,30.653611,116.036111,30.653611,official_coordinate,river,否
973,罗田,长江,长河,湖北,115.397667,30.783361,115.397667,30.783361,official_coordinate,river,否
1129,花凉亭东山头二,长江,长河,安徽,116.27842,30.43819,116.27842,30.43819,official_coordinate,river,否
807,永红,长江,长滩河-巴河,四川,107.391667,31.475833,107.391667,31.475833,official_coordinate,river,否
792,剑阁（二）,长江,闻溪河,四川,105.483333,32.033333,105.483333,32.033333,official_coordinate,river,否
975,崇阳(二),长江,陆水,湖北,114.049281,29.536686,114.049281,29.536686,official_coordinate,river,否
976,洪下,长江,陆水,湖北,114.002474,29.625369,114.002474,29.625369,official_coordinate,river,否
689,泸宁,长江,雅砻江,四川,101.870551,28.458068,101.870551,28.458068,official_coordinate,river,否
